x,y,r2,slope,group
28.818,72.98596949926807,0.21503210335802037,0.10427738547487897,Black
109.688,81.41888166262153,0.21503210335802037,0.10427738547487897,Black
53.039035330764015,76.29448553166856,0.6674829916457272,0.11249612288461125,White
147.488,86.91962786742324,0.6674829916457272,0.11249612288461125,White
25.126577951002226,69.4091612960681,0.21867194327297856,0.4913483787144818,AIAN
100.758,106.57053789971387,0.21867194327297856,0.4913483787144818,AIAN
39.296842043746864,84.66983024665724,0.0015032673922508177,0.018170143051562226,Hispanic
80.502,85.41853386118459,0.0015032673922508177,0.018170143051562226,Hispanic
50.625,84.53894294221925,0.19561472366083665,0.07350680529985039,Asian
127.60172172111892,90.19725583839431,0.19561472366083665,0.07350680529985039,Asian
