State,group,population,life expectancy,income
Alabama,Asian,55966,87.28881651451627,68289.02692706286
Alabama,Black,1288956,72.46022450934956,36170.07319256825
Alabama,Hispanic,187188,93.77186676067883,43833.61883774601
Alabama,White,3105530,75.56852842936767,61996.74315076653
Alaska,Asian,39378,85.26085536304272,73775.28165473106
Alaska,Black,20776,76.60505053358284,65934.67265113593
Alaska,Hispanic,46034,84.40239122451094,66132.72494243385
Alaska,White,400773,80.38577234205766,85456.83591958541
Arizona,Asian,278662,86.40439526478666,83237.59534130954
Arizona,Black,336585,75.77345007393673,49906.48325980065
Arizona,Hispanic,2366919,79.66566000313708,52616.38316647084
Arizona,White,3993464,79.67866742711335,68343.5823257703
Arkansas,Asian,36636,83.06989607176253,71121.07372529752
Arkansas,Black,451307,71.81328917748759,33252.02113417252
Arkansas,Hispanic,193065,87.40505006425943,48036.00907466397
Arkansas,White,1697905,75.87525708227702,57202.89105279742
California,Asian,6224260,87.05312194161903,103900.65112591698
California,Black,2199640,75.05372149284973,56299.083156334666
California,Hispanic,15557175,82.13494662233246,63036.00791441891
California,White,14117880,80.18612670890327,93233.56403758923
Colorado,Asian,197229,86.08540009407393,84618.98490080058
Colorado,Black,224693,75.8668959349253,54687.763570738745
Colorado,Hispanic,1258141,79.42777073302783,59101.99451412839
Colorado,White,3803626,80.5115565610035,83931.65018274667
Connecticut,Asian,178587,91.26089821851858,104923.61258658246
Connecticut,Black,373497,77.19086083276792,51418.69069095602
Connecticut,Hispanic,612929,82.67814423827265,49056.49317620801
Connecticut,White,2321602,80.19472693804175,93263.8975664218
Delaware,Asian,41543,91.03598167041501,97180.14556002214
Delaware,Black,218592,75.44416916231263,50757.16778747622
Delaware,Hispanic,97078,87.25635816018914,56411.41447083787
Delaware,White,602529,77.9695550291324,76990.81600221733
District of Columbia,Asian,32460,90.201668609,107732.0
District of Columbia,Black,312456,71.46935865,48515.0
District of Columbia,Hispanic,81115,85.410193515,80502.0
District of Columbia,White,269011,87.950938392,147488.0
Florida,Asian,640866,89.65551372254617,73583.23737099486
Florida,Black,3366213,76.55269199372512,44185.07858860982
Florida,Hispanic,5733616,83.73422074515356,52271.6045136263
Florida,White,11478687,78.6060111085166,64786.486151508456
Georgia,Asian,440339,87.90898741702594,87183.23778043734
Georgia,Black,3376977,75.29367359703093,49025.37170315344
Georgia,Hispanic,959556,87.26891896272497,55100.67118125466
Georgia,White,5200980,77.74097667171554,75130.04254621244
Hawaii,Asian,522084,83.08820103856199,89495.87548746947
Hawaii,Black,25518,82.6253184328927,72597.26248138568
Hawaii,Hispanic,153942,76.98148014221132,73164.87612217589
Hawaii,White,300984,81.86999674684418,84075.52140313106
Idaho,Asian,21330,84.90251159180352,55750.145100796995
Idaho,Black,7492,80.60715761124933,48592.00800854245
Idaho,Hispanic,216235,82.69051503239365,51851.278904895145
Idaho,White,1261744,78.92443730554166,62282.619721591705
Illinois,Asian,739418,88.46731668750945,96101.44700832276
Illinois,Black,1749863,72.11442369246839,41756.40370531864
Illinois,Hispanic,2182535,83.62708150232768,60390.031873486565
Illinois,White,6717224,79.44450596873125,81060.14728435437
Indiana,Asian,155414,87.05686453503705,65386.34574105293
Indiana,Black,630328,72.20040584927841,36953.368669962314
Indiana,Hispanic,447400,83.94209511463708,50464.691157800626
Indiana,White,3921204,76.94619037569237,65651.33890866172
Iowa,Asian,70009,85.61404641737134,66002.89752746075
Iowa,Black,99797,74.25978079200861,35647.70151407357
Iowa,Hispanic,144534,86.2990305961005,52644.22558014032
Iowa,White,1572379,79.10735739324478,67515.85103400642
Kansas,Asian,79406,86.86876928483677,72428.80957358386
Kansas,Black,152227,72.61980453969286,40860.008848627374
Kansas,Hispanic,324054,81.40720452770776,51036.468961963124
Kansas,White,1608223,78.51536062088984,71274.21101426854
Kentucky,Asian,55357,84.99992681150677,67819.27646006829
Kentucky,Black,333023,72.61446790145439,39245.20019338005
Kentucky,Hispanic,120675,88.62743773893433,48211.856656308264
Kentucky,White,2122827,76.46954341966129,64047.187474061706
Louisiana,Asian,69112,85.97761018846916,67725.17685785392
Louisiana,Black,1501961,71.84613287485432,33012.091292650075
Louisiana,Hispanic,223529,87.17451483058541,47949.90010244756
Louisiana,White,2686621,76.49377066211588,63218.50177378945
Maine,Asian,12246,91.04873265335652,62653.61048505634
Maine,Black,18307,78.60888958577078,38685.75938165729
Maine,Hispanic,17495,101.5426101384327,58071.08150900258
Maine,White,846430,78.58168852251931,65328.69916118284
Maryland,Asian,411256,89.0911509781609,113032.72588849769
Maryland,Black,1822412,75.7237795650264,72342.76706419843
Maryland,Hispanic,643474,87.1213001103269,77742.75172268035
Maryland,White,2970728,79.02100037520226,100925.55964362943
Massachusetts,Asian,510858,88.83908416309691,102040.63086219654
Massachusetts,Black,507335,79.09620139867168,57473.57803423774
Massachusetts,Hispanic,865106,84.27663309258301,50486.47614396387
Massachusetts,White,4840102,79.94517937713843,93431.71118088005
Michigan,Asian,318669,89.75246986208948,88744.76333750694
Michigan,Black,1349796,71.69073218158216,37442.1314213407
Michigan,Hispanic,513897,80.7238711279088,52202.905737920235
Michigan,White,6475409,78.49178447547942,67187.25615555712
Minnesota,Asian,279697,83.53807427608884,83826.47762757556
Minnesota,Black,365513,77.16733390978014,42702.752531373706
Minnesota,Hispanic,261475,86.95295922667455,60775.406119131854
Minnesota,White,3544839,81.04371967887973,83057.69711290133
Mississippi,Asian,17617,85.00143819172017,80230.46273485837
Mississippi,Black,1088890,71.72801363330571,33077.14052842803
Mississippi,Hispanic,60199,90.34843229785965,50262.19980398346
