population,percentage,life expectancy,income,group
42,0.2852098329,,,Asian
8512,57.802526144,73.258030034,23618.0,Black
200,1.3581420617,,,Hispanic
5850,39.725655304,75.595983058,53008.0,White
85,0.493927596,,,AIAN
64,0.3718984252,,,Asian
4445,25.829507816,72.965945558,32035.0,Black
460,2.6730199314,,52721.0,Hispanic
11929,69.318379917,77.310448225,53848.0,White
566,0.5404786005,,39402.0,AIAN
1110,1.0599491988,,50417.0,Asian
28191,26.919844923,72.379607768,28002.0,Black
3601,3.4386279865,95.305550774,38819.0,Hispanic
69450,66.318443116,76.883372687,54264.0,White
870,1.6816143498,,,AIAN
303,0.5856656873,,29018.0,Asian
1766,3.413483841,73.267318325,29000.0,Black
1528,2.9534560074,,,Hispanic
46080,89.067573836,73.32483076,40172.0,White
1892,0.2869710299,,47560.0,AIAN
11676,1.7709692098,83.971616202,74185.0,Asian
284330,43.126042773,72.889019426,36475.0,Black
26246,3.9808888215,96.847483926,42726.0,Hispanic
327671,49.699833156,75.831280112,68571.0,White
40,0.2889338342,,,AIAN
14,0.101126842,,,Asian
1439,10.394394684,,19359.0,Black
234,1.6902629298,,,Hispanic
11902,85.972262352,,40542.0,White
417,0.4513622046,,,AIAN
708,0.7663415849,,,Asian
9140,9.8931667875,71.733098741,29756.0,Black
2644,2.8618745062,96.744807543,31471.0,Hispanic
78164,84.604976891,76.392826466,48392.0,White
1913,5.8045331796,,60882.0,AIAN
77,0.2336377704,,,Asian
3570,10.832296629,72.918544587,30732.0,Black
734,2.227144461,,45720.0,Hispanic
25174,76.384379646,72.968067138,45020.0,White
611,0.3726950549,,,AIAN
6876,4.1941918129,83.338664934,53103.0,Asian
37341,22.777096638,74.613704293,30862.0,Black
6164,3.7598892284,98.733506003,44138.0,Hispanic
110621,67.476104208,79.079239939,56733.0,White
795,0.826626739,,89143.0,AIAN
1535,1.5960654647,88.913271441,97880.0,Asian
12977,13.493251814,77.40514131,45192.0,Black
5910,6.1451119845,100.30315981,34747.0,Hispanic
73202,76.114126479,77.370313971,59454.0,White
37,0.3709645077,,,AIAN
44,0.4411469822,,,Asian
7175,71.937036294,69.89686037,23493.0,Black
173,1.7345097253,,,Hispanic
2507,25.135351915,73.423572936,62875.0,White
49,0.2657410923,,,AIAN
112,0.6074082109,,,Asian
14760,80.047724931,72.256171054,29201.0,Black
337,1.8276479202,,,Hispanic
2976,16.139703888,75.901168615,44388.0,White
2968,0.8097806662,,70673.0,AIAN
9815,2.6778966438,91.047227306,77300.0,Asian
89566,24.436932328,76.298514235,39512.0,Black
18578,5.0687686041,88.227119317,41331.0,Hispanic
236756,64.595832685,77.057554285,74056.0,White
46,0.2412671772,,,AIAN
58,0.3042064408,,,Asian
9738,51.07521242,72.294295875,22865.0,Black
492,2.580509808,,91161.0,Hispanic
8555,44.870450016,75.736249155,55027.0,White
126,0.4233444209,,36250.0,AIAN
97,0.3259080066,,,Asian
1126,3.7832207775,,31406.0,Black
766,2.5736652891,,44458.0,Hispanic
27330,91.825420825,,35952.0,White
1078,1.1216431344,,38665.0,AIAN
705,0.733542124,,132857.0,Asian
2310,2.4035210022,72.985684161,40220.0,Black
13768,14.325401367,105.00920909,30431.0,Hispanic
77307,80.436795722,73.787074441,44560.0,White
3885,0.938956924,91.997141702,48077.0,AIAN
8548,2.0659469205,84.400470586,53950.0,Asian
147900,35.745618805,73.098925499,30098.0,Black
12648,3.0568667116,93.439240413,42843.0,Hispanic
234690,56.721698968,75.834851152,58079.0,White
283,1.3433331751,,57987.0,AIAN
99,0.4699292733,,,Asian
8630,40.9645417,71.861363816,16778.0,Black
340,1.6138985143,,15156.0,Hispanic
11367,53.95642474,76.028866306,46593.0,White
760,0.336636207,,51797.0,AIAN
7203,3.190513946,88.413709462,69951.0,Asian
132174,58.54546582,74.518976716,36806.0,Black
7937,3.5156336512,104.1738012,39387.0,Hispanic
75153,33.288448506,77.943257548,68120.0,White
1311,1.100857342,,108362.0,AIAN
836,0.7019959862,,55978.0,Asian
15076,12.659439579,73.343489118,30435.0,Black
10067,8.4533416185,107.98641777,38168.0,Hispanic
89716,75.335253466,75.227885614,53372.0,White
24,0.2625820569,,,AIAN
55,0.601750547,,,Asian
6172,67.527352298,70.007671134,20262.0,Black
132,1.4442013129,,,Hispanic
2701,29.551422319,76.801187059,24545.0,White
48,0.2407463136,,,AIAN
67,0.3360417294,,,Asian
7940,39.823452703,75.41987096,22405.0,Black
948,4.754739693,,,Hispanic
10740,53.866987662,76.088227711,55632.0,White
236,0.7079008939,,55875.0,AIAN
710,2.1297018417,,50511.0,Asian
12440,37.314775931,72.975991289,21162.0,Black
802,2.4056632072,,,Hispanic
18600,55.792189094,76.532802403,48480.0,White
107,0.4708470847,,,AIAN
89,0.3916391639,,,Asian
4400,19.361936194,73.091046798,31885.0,Black
661,2.9086908691,,,Hispanic
17120,75.335533553,74.925175225,45261.0,White
359,0.6213115038,,25945.0,AIAN
507,0.8774510652,,,Asian
25861,44.756927018,73.60391755,35088.0,Black
3245,5.616032952,80.584236877,42481.0,Hispanic
26570,45.983973971,73.124795097,44474.0,White
319,0.3596797835,,,AIAN
790,0.8907430375,,62500.0,Asian
8271,9.3257413463,76.052623192,43634.0,Black
2224,2.5076107791,,51319.0,Hispanic
75920,85.601533431,74.552574924,56223.0,White
851,0.394516636,,106350.0,AIAN
4871,2.258155739,90.492032384,89911.0,Asian
27807,12.891097646,78.447106071,61900.0,Black
12465,5.7786719949,108.53434312,48652.0,Hispanic
167240,77.531095421,80.392949102,78109.0,White
17,0.1339531952,,,AIAN
256,2.0171775274,,,Asian
9063,71.412812229,71.686400947,19530.0,Black
146,1.1504215586,,,Hispanic
3116,24.552832716,78.7259669,61389.0,White
326,0.4083780127,,13552.0,AIAN
525,0.6576639776,,,Asian
25998,32.567520168,72.529717194,28110.0,Black
1883,2.3588214662,92.188090162,,Hispanic
49890,62.496868267,73.036687063,49074.0,White
173,0.4271921377,,,AIAN
251,0.6197989975,,50880.0,Asian
10845,26.779761464,71.329437767,23161.0,Black
952,2.3507914166,,,Hispanic
27854,68.780403487,75.562294834,52985.0,White
699,0.3345922426,,44318.0,AIAN
3394,1.6246152668,104.27598684,46103.0,Asian
66527,31.844661124,74.602535531,36006.0,Black
8115,3.8844292546,109.36157023,38601.0,Hispanic
127896,61.220328274,76.827377547,63524.0,White
355,0.5572036226,,36366.0,AIAN
386,0.6058608404,,51667.0,Asian
3863,6.0633171666,68.201687183,23750.0,Black
1634,2.5647062517,,33372.0,Hispanic
56654,88.923419818,70.190849399,43859.0,White
1287,7.8581023324,,34691.0,AIAN
148,0.9036512395,,,Asian
3821,23.330076932,72.863278345,27972.0,Black
259,1.5813896691,,,Hispanic
10665,65.117841006,75.641162781,45506.0,White
24,0.2258398419,,,AIAN
25,0.2352498353,,,Asian
7517,70.734920486,71.586005102,23522.0,Black
150,1.411499012,,,Hispanic
2832,26.649101346,76.021586341,43304.0,White
206,0.8706677937,,21713.0,AIAN
87,0.3677092139,,,Asian
188,0.7945900254,,,Black
756,3.1952662722,,,Hispanic
22168,93.693998309,,39661.0,White
692,19.687055477,,58750.0,AIAN
1524,43.357041252,,66635.0,Asian
366,10.412517781,,,Black
517,14.708392603,,54750.0,Hispanic
302,8.5917496444,,87679.0,White
674,11.777040014,,55694.0,AIAN
2359,41.219640049,,83661.0,Asian
371,6.4826140136,,55833.0,Black
791,13.821422331,,86250.0,Hispanic
1328,23.204612965,,107250.0,White
25865,8.8719137814,66.553763294,61242.0,AIAN
29418,10.090622835,84.58537637,68289.0,Asian
15883,5.4480033478,76.771123253,56477.0,Black
27107,9.297930287,83.458880978,66442.0,Hispanic
167099,57.316370422,80.649810218,95107.0,White
15263,83.788976724,70.828762167,44715.0,AIAN
174,0.9552042161,,117212.0,Asian
166,0.9112867809,,118472.0,Black
442,2.426438296,,78214.0,Hispanic
1757,9.6453667106,86.015160062,114286.0,White
286,32.611174458,,57813.0,AIAN
12,1.3683010262,,,Asian
7,0.7981755986,,,Black
66,7.5256556442,,,Hispanic
381,43.443557583,,98333.0,White
109,5.2938319573,,69375.0,AIAN
110,5.3423992229,,,Asian
44,2.1369596892,,,Black
66,3.2054395338,,,Hispanic
1647,79.990286547,,83056.0,White
3617,72.34,,47198.0,AIAN
45,0.9,,,Asian
36,0.72,,70938.0,Black
188,3.76,,73942.0,Hispanic
761,15.22,,103047.0,White
7830,7.9114083924,69.972383619,51843.0,AIAN
3455,3.4909215831,83.627455526,57877.0,Asian
4850,4.9004253771,82.496761779,61970.0,Black
8281,8.3670974326,89.71614679,66346.0,Hispanic
68542,69.254630144,80.523582022,81481.0,White
259,10.468876314,,21250.0,AIAN
26,1.0509296686,,,Asian
15,0.606305578,,,Black
80,3.2336297494,,,Hispanic
1915,77.405012126,,73189.0,White
811,37.70339377,,43333.0,AIAN
32,1.4876801488,,,Asian
41,1.9060901906,,,Black
137,6.3691306369,,71250.0,Hispanic
986,45.839144584,,79896.0,White
3809,11.861239996,71.358571824,57981.0,AIAN
2257,7.0283062934,86.986447779,85357.0,Asian
390,1.2144614331,,,Black
2182,6.7947560178,86.454609953,51534.0,Hispanic
20637,64.263693831,81.586008442,93514.0,White
4659,7.9596125263,74.036373006,38935.0,AIAN
1042,1.7801923701,,141029.0,Asian
384,0.6560401825,,81563.0,Black
