State,group,population,life expectancy,income
Vermont,Asian,7787,85.958913303,56534.0
Vermont,Black,4038,76.058824761,42109.0
Vermont,Hispanic,3997,94.114985321,58571.0
Vermont,White,145037,81.704383695,72354.0
Virginia,AIAN,6367,89.522446582,80398.0
Virginia,Asian,559558,89.43558153815266,107615.2879451281
Virginia,Black,1599708,76.77689467280773,55100.978249780586
Virginia,Hispanic,753097,89.87157801372034,70281.04575506209
Virginia,White,4677622,80.10563805129961,88143.74070628194
Washington,AIAN,124997,73.1128542262027,47519.60860660656
Washington,Asian,692202,87.35905402503448,92335.78315722868
Washington,Black,276634,78.01469339855599,50929.98528018971
Washington,Hispanic,955180,85.39769250066516,53245.16669109487
Washington,White,4974661,80.04335132340526,75193.29500462444
West Virginia,Asian,5906,88.87298448795835,59604.8002031832
West Virginia,Black,48891,71.62013914445878,34866.94745454174
West Virginia,Hispanic,8707,90.67217288118111,63692.80900424945
West Virginia,White,730499,74.64480734449535,49954.555487413396
Wisconsin,AIAN,34533,72.73507477789715,39867.4969159934
Wisconsin,Asian,159406,85.32479980270243,70035.73573140283
Wisconsin,Black,347308,72.14761807314457,30205.41294758543
Wisconsin,Hispanic,357645,86.33272779546601,44367.592249297486
Wisconsin,White,3540694,79.97274659658137,65601.46816415088
Wyoming,AIAN,8731,64.620720196,44458.0
Wyoming,Black,2393,78.890586824,83833.0
Wyoming,Hispanic,43274,82.51762782139619,51286.53286037805
Wyoming,White,318074,78.54692044673288,65418.78381445827
