population,percentage,life expectancy,income,group
266,0.4737732657,,,AIAN
657,1.1701843441,,98953.0,Asian
11408,20.318817348,73.932611326,30718.0,Black
1741,3.1008994568,94.103987461,81185.0,Hispanic
41079,73.165909698,76.990869943,65130.0,White
1788,0.7798087114,104.61793156,,AIAN
2529,1.1029844692,82.540024333,,Asian
19441,8.4788932648,73.786584457,39500.0,Black
10625,4.6339304016,86.639922399,54063.0,Hispanic
191015,83.308255592,77.797174531,66695.0,White
172,0.6994997763,,,AIAN
112,0.4554882264,,53750.0,Asian
11756,47.80999634,70.588292213,22835.0,Black
1149,4.6728211802,,30350.0,Hispanic
11130,45.264142503,75.124789778,51017.0,White
102,0.4607878569,,,AIAN
57,0.2574990965,,,Asian
4644,20.979400072,72.29863961,14591.0,Black
649,2.9318756776,,63438.0,Hispanic
16420,74.177809902,73.546826645,54895.0,White
364,0.6288982187,,,AIAN
220,0.380103319,,125272.0,Asian
884,1.5273242454,,42656.0,Black
5524,9.5440487914,98.162859545,40783.0,Hispanic
50238,86.798320634,73.605309562,49580.0,White
88,0.882117081,,,AIAN
27,0.2706495589,,,Asian
6852,68.684843625,71.559544108,26579.0,Black
885,8.8712910986,,,Hispanic
2104,21.090617482,78.993154041,76389.0,White
77,0.3947908121,,48556.0,AIAN
266,1.3638228056,,,Asian
8699,44.601107465,71.918644093,31250.0,Black
323,1.6560705496,,,Hispanic
9943,50.9792863,74.087512121,56493.0,White
598,0.5270161894,,54115.0,AIAN
1002,0.8830605716,,,Asian
24049,21.194335017,72.755896585,37707.0,Black
4668,4.1138989504,90.513131362,49563.0,Hispanic
81012,71.395711604,72.524672193,53622.0,White
115,0.3499163244,,,AIAN
377,1.1471169938,,,Asian
13131,39.95435874,74.330336441,34995.0,Black
915,2.7841168416,,70159.0,Hispanic
18005,54.784725392,73.596696175,49953.0,White
186,0.7073857154,,,AIAN
124,0.4715904769,,,Asian
1081,4.111204077,,,Black
482,1.8331178216,,34183.0,Hispanic
24046,91.450521031,,43567.0,White
255,0.5743631326,,78253.0,AIAN
213,0.4797621461,,,Asian
4405,9.9218415659,73.382982276,33000.0,Black
3524,7.9374732527,,50395.0,Hispanic
35584,80.149559655,74.147465311,54112.0,White
24,0.193267837,,,AIAN
30,0.2415847963,,,Asian
5122,41.246577549,71.411506265,29093.0,Black
147,1.1837655017,,,Hispanic
6999,56.361732968,76.188397841,43571.0,White
133,0.5710360225,,,AIAN
102,0.4379374007,,185727.0,Asian
10463,44.922931604,68.902309593,27115.0,Black
315,1.3524537375,,44583.0,Hispanic
12068,51.81400541,73.676264196,50436.0,White
73,0.5567419158,,,AIAN
39,0.2974374619,,,Asian
1776,13.544844417,70.051183734,29281.0,Black
411,3.134533252,,30197.0,Hispanic
10565,80.57504576,72.903199843,44234.0,White
78,0.5211465223,,,AIAN
29,0.1937596045,,,Asian
422,2.8195363132,,,Black
416,2.7794481192,,,Hispanic
13836,92.443375426,,,White
747,1.403343979,,44231.0,AIAN
892,1.6757467593,,105853.0,Asian
9058,17.016719895,72.268107554,37602.0,Black
4423,8.3092241217,87.406273001,39979.0,Hispanic
36768,69.073830547,75.074416448,62729.0,White
381,0.6875891069,,83500.0,AIAN
383,0.6911984985,,65481.0,Asian
8872,16.011261302,71.216734218,30687.0,Black
1763,3.1816787281,86.187593448,31319.0,Hispanic
42977,77.560412193,74.132560598,53250.0,White
61,0.5147244958,,,AIAN
32,0.2700194076,,,Asian
5384,45.430765336,68.795061672,33152.0,Black
293,2.4723652012,,,Hispanic
5935,50.080162012,73.383650738,40368.0,White
73,0.6854460094,,,AIAN
21,0.1971830986,,,Asian
3201,30.056338028,73.071329363,34270.0,Black
270,2.5352112676,,,Hispanic
6982,65.558685446,75.171556551,47971.0,White
277,0.7500676956,,30219.0,AIAN
188,0.5090712158,,,Asian
4620,12.510154346,68.77920537,24655.0,Black
707,1.9144327105,,41600.0,Hispanic
30607,82.87841863,73.300779496,47319.0,White
93,0.6797748703,,,AIAN
163,1.1914333748,,,Asian
3246,23.726335794,73.208529969,23698.0,Black
