FIPS,State,Division,Life Expectancy,Life Expectancy (AIAN),Life Expectancy (Asian),Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),Population,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,% Female,Median Household Income,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High
1000,Alabama,,74.83594896,111.78270164,87.316863503,72.417346574,94.571633501,75.400928285,4921532,1303754,26.490816274,34897,0.7090678268,75551,1.5351114247,5393,0.1095797,226557,4.6033836618,3205777,65.137786364,51.702721835,53958.0,49162.0,44198.255319,54125.744681,67083.0,62274.148936,71891.851064,35239.0,34648.021277,35829.978723,42568.0,40291.06383,44844.93617,60213.0,59639.893617,60786.106383
2000,Alaska,,78.615640554,68.890860291,86.292267747,77.780547024,84.802625068,80.412519297,731158,23621,3.230628674,113812,15.565992576,48557,6.6411090353,11642,1.5922687025,53556,7.3248189858,436033,59.63594736,47.817434809,79961.0,49963.0,47856.446809,52069.553191,73873.0,71014.617021,76731.382979,64054.0,58434.93617,69673.06383,67559.0,63232.702128,71885.297872,86128.0,84979.404255,87276.595745
4000,Arizona,,79.061023365,69.269914911,86.5068101,75.778240744,79.693478924,79.661352872,7421401,339240,4.5711045664,391444,5.2745297013,281163,3.78854343,20949,0.2822782383,2366919,31.893156023,3993464,53.810109439,50.333825109,64652.0,39969.0,38829.93617,41108.06383,81932.0,78850.808511,85013.191489,49418.0,47645.06383,51190.93617,52399.0,51757.978723,53040.021277,66973.0,66485.680851,67460.319149
5000,Arkansas,,75.48838534,112.24057999,83.653188922,71.9715596,89.259951164,75.62253168,3030522,467432,15.424141452,31714,1.0464863809,53246,1.7569910398,12835,0.4235243961,243163,8.0237992003,2172339,71.682007258,50.937297271,51146.0,41196.0,37495.234043,44896.765957,73765.0,68683.297872,78846.702128,32844.0,31982.553191,33705.446809,45266.0,43333.404255,47198.595745,53335.0,52810.744681,53859.255319
6000,California,,81.007870536,77.262747831,86.964986979,75.043333843,82.12305802,80.127320827,39368078,2210338,5.6145438444,667270,1.6949519354,6233297,15.833379013,203774,0.5176122644,15569780,39.549251045,14147082,35.935414475,50.270650754,83001.0,60182.0,58379.276596,61984.723404,101380.0,100803.31915,101956.68085,54976.0,54258.723404,55693.276596,62330.0,61953.489362,62706.510638,90496.0,90034.893617,90957.106383
8000,Colorado,,79.977189713,77.539220331,85.952563542,75.855586102,79.021022347,80.40414972,5807719,235865,4.0612329901,96393,1.6597393917,206907,3.5626207122,12285,0.2115288291,1274247,21.940575982,3915532,67.41944643,49.620720286,77688.0,52028.0,47959.06383,56096.93617,83168.0,80693.276596,85642.723404,53806.0,51730.425532,55881.574468,57790.0,56733.148936,58846.851064,81200.0,80625.702128,81774.297872
9000,Connecticut,,80.10744161,98.421460036,91.055090629,77.147995506,82.55688439,80.134413317,3557006,373497,10.500319651,22803,0.6410728573,178587,5.0207112386,4106,0.1154341601,612929,17.23159871,2321602,65.26843081,51.225272041,79723.0,42035.0,33733.893617,50336.106383,101418.0,98198.595745,104637.40426,50905.0,49465.680851,52344.319149,48715.0,47394.829787,50035.170213,90941.0,90134.361702,91747.638298
10000,Delaware,,78.009490898,91.339508145,91.006206542,75.453941041,86.644951569,78.10087923,986809,218592,22.151399106,6898,0.6990207832,41543,4.2098318925,1136,0.1151185285,97078,9.8375673509,602529,61.058320303,51.688725984,71335.0,48591.0,45440.702128,51741.297872,96191.0,85667.765957,106714.23404,50870.0,48395.276596,53344.723404,56430.0,53133.148936,59726.851064,75700.0,74130.808511,77269.191489
11000,District of Columbia,,78.036698977,104.55525201,90.201668609,71.46935865,85.410193515,87.950938392,712816,312456,43.834032906,4240,0.5948239097,32460,4.5537698368,1089,0.1527743485,81115,11.379514489,269011,37.739192162,52.591973244,91957.0,53244.0,52538.638298,53949.361702,107732.0,101501.70213,113962.29787,48515.0,47066.148936,49963.851064,80502.0,72785.914894,88218.085106,147488.0,142924.59574,152051.40426
12000,Florida,,79.692945807,94.945098296,89.358907214,76.408025673,83.376367718,78.827258684,21733312,3376297,15.535124145,113961,0.5243609442,654244,3.0103281083,25891,0.119130485,5749737,26.455871061,11533353,53.067627244,51.134093138,61724.0,49775.0,46442.404255,53107.595745,73412.0,70913.446809,75910.553191,43418.0,42891.361702,43944.638298,52092.0,51595.148936,52588.851064,63474.0,63093.914894,63854.085106
13000,Georgia,,77.309261081,133.4169142,87.40969628,75.135413562,87.664939863,77.500914954,10710017,3406103,31.802965392,57589,0.5377115648,482232,4.5026259062,14483,0.1352285435,1067941,9.9714220808,5522339,51.562373804,51.432859537,62800.0,40577.0,37010.87234,44143.12766,83654.0,81349.659574,85958.340426,46964.0,46394.468085,47533.531915,52784.0,51891.574468,53676.425532,70784.0,70278.808511,71289.191489
15000,Hawaii,,82.258267591,83.278222409,83.030267008,82.759578308,77.077729296,81.98063073,1407006,27350,1.9438438784,5474,0.3890530673,522091,37.106522645,147408,10.476714385,153943,10.941175802,301007,21.393441108,49.938664085,86878.0,50833.0,38093.595745,63572.404255,89204.0,87162.978723,91245.021277,71939.0,68035.680851,75842.319149,73298.0,70695.787234,75900.212766,82735.0,80665.382979,84804.617021
16000,Idaho,,79.18547074,77.354933048,84.951242421,84.668133415,82.998389188,78.993751575,1826913,13793,0.7549894275,31836,1.7426117171,29282,1.6028130513,4112,0.2250791362,237272,12.987591637,1487564,81.425004913,49.853988668,62603.0,40498.0,34354.680851,46641.319149,55373.0,47431.723404,63314.276596,45059.0,39665.12766,50452.87234,50571.0,49042.319149,52099.680851,60629.0,59885.510638,61372.489362
17000,Illinois,,78.615341515,116.81315497,88.164840923,72.229360344,83.574780255,79.136896374,12587530,1778786,14.131334742,77474,0.6154821478,760289,6.0400173823,8513,0.0676304247,2219748,17.634500176,7606163,60.426175747,50.861638463,71243.0,55222.0,50133.148936,60310.851064,94386.0,92129.319149,96642.680851,41021.0,40419.297872,41622.702128,59699.0,58901.893617,60496.106383,75587.0,75264.106383,75909.893617
18000,Indiana,,76.5148925,112.17665216,87.248139315,72.379412119,83.483417151,76.62889722,6754953,654820,9.6939238511,29369,0.4347772664,179485,2.6570873254,4822,0.0713846566,502475,7.4386157831,5269007,78.002126736,50.673838885,60794.0,50629.0,43120.234043,58137.765957,65224.0,61298.042553,69149.957447,36131.0,35395.851064,36866.148936,49162.0,47520.12766,50803.87234,61998.0,61641.744681,62354.255319
19000,Iowa,,78.743464656,75.780500323,84.622831705,73.394474409,87.368556637,78.776321029,3163561,126500,3.9986584738,17588,0.5559557726,87400,2.762709491,5536,0.1749926744,205956,6.5102585346,2673794,84.518490397,50.192362341,62362.0,41211.0,34077.553191,48344.446809,62106.0,58299.191489,65912.808511,33662.0,31725.829787,35598.170213,49686.0,47923.787234,51448.212766,63961.0,63551.12766,64370.87234
20000,Kansas,,77.810873547,72.893114056,86.898589657,72.781543322,81.015280452,78.055663326,2913805,167190,5.73785823,35490,1.2179950271,93452,3.2072153078,3936,0.1350811053,362238,12.431785929,2187864,75.08615024,50.18403771,63214.0,43540.0,38242.638298,48837.361702,70355.0,66689.978723,74020.021277,39274.0,37753.659574,40794.340426,49196.0,47873.446809,50518.553191,64470.0,63955.276596,64984.723404
21000,Kentucky,,75.081765246,131.34962094,85.474122122,72.787441855,93.894568702,75.020437551,4477251,370691,8.2794330718,13658,0.305053257,74926,1.6734822327,4670,0.1043050747,179277,4.0041757766,3754448,83.856098307,50.743324419,54074.0,34003.0,27860.87234,40145.12766,67188.0,61705.957447,72670.042553,37521.0,36542.787234,38499.212766,47112.0,44292.93617,49931.06383,54099.0,53676.021277,54521.978723
22000,Louisiana,,75.223197333,91.353375988,85.808772588,71.866256709,85.5579239,76.407364185,4645318,1503780,32.371949563,37188,0.8005479926,86912,1.8709591033,2951,0.0635263291,252634,5.4384651384,2700652,58.137074792,51.259310988,51730.0,48108.0,42674.808511,53541.191489,64478.0,60699.787234,68256.212766,31479.0,30888.021277,32069.978723,46489.0,43979.723404,48998.276596,61858.0,61006.085106,62709.914894
23000,Maine,,78.562331689,74.474127499,89.959035544,80.425989495,102.29693042,78.544852611,1350141,22514,1.6675295395,9659,0.7154067612,18049,1.3368233392,507,0.0375516335,25266,1.8713601024,1252169,92.743572708,51.019856445,59145.0,35688.0,28048.170213,43327.829787,57868.0,50100.680851,65635.319149,41174.0,36259.106383,46088.893617,55821.0,47829.680851,63812.319149,60207.0,59394.404255,61019.595745
24000,Maryland,,78.57675213,96.609466827,88.910777964,75.517510603,87.450828357,78.977046076,6055802,1822724,30.098804419,38429,0.6345815137,415516,6.8614528678,7446,0.1229564639,654437,10.806776708,2998482,49.514201422,51.574143276,88589.0,77912.0,64850.893617,90973.106383,108839.0,106202.23404,111475.76596,69964.0,69096.595745,70831.404255,76092.0,74649.106383,77534.893617,97547.0,96742.744681,98351.255319
25000,Massachusetts,,80.18564724,92.038870668,88.861670342,78.932260095,83.859851398,80.029279518,6893574,510208,7.4012116211,35652,0.5171773016,512509,7.4345905332,7584,0.1100155014,867425,12.583095503,4863382,70.549500158,51.447072302,87288.0,42228.0,33372.851064,51083.148936,102235.0,99611.340426,104858.65957,54835.0,52703.425532,56966.574468,48450.0,47206.085106,49693.914894,91759.0,91090.574468,92427.425532
26000,Michigan,,77.484875297,77.563718517,89.500798949,71.89918169,80.63152208,78.320926807,9966555,1370393,13.749916596,73658,0.7390517586,338185,3.3931985526,4388,0.0440272491,542105,5.4392415433,7425115,74.500316308,50.75717738,61352.0,45530.0,41670.765957,49389.234043,88990.0,86623.702128,91356.297872,36561.0,36062.957447,37059.042553,50802.0,49799.957447,51804.042553,63594.0,63316.382979,63871.617021
